Type,Feature,Filename,Count,Time(s)
html,EncodedStringHTML,bilibili.html,0,0.0009975433349609375
html,EncodedURL,bilibili.html,0,0.0019948482513427734
html,FrameSet,bilibili.html,0,0.0019943714141845703
html,Hidden,bilibili.html,0,0.0019948482513427734
html,HTML5_Tags,bilibili.html,0,0.0009980201721191406
html,IPExist,bilibili.html,0,0.0029909610748291016
html,NoFrame,bilibili.html,0,0.000997781753540039
html,NullCharacter,bilibili.html,0,0.0
html,Port,bilibili.html,0,0.0009975433349609375
html,UnsymmetricalTag,bilibili.html,0,0.0009980201721191406
html,CharCount,bilibili.html,1378,0.0009968280792236328
html,DoubleDocuments,bilibili.html,0,0.000997304916381836
html,EmbedAndObject,bilibili.html,0,0.001516580581665039
html,IncludedUrls,bilibili.html,4,0.001996278762817383
html,KnownMaliciousPatterns,bilibili.html,0,0.0010263919830322266
html,OutOfPlace,bilibili.html,0,0.001993894577026367
html,ScriptNum,bilibili.html,4,0.002000570297241211
html,ScriptRatio,bilibili.html,0.0,0.0009632110595703125
html,ScriptWrongExtention,bilibili.html,0,0.000997304916381836
html,SmallAreaElements,bilibili.html,0,0.000997304916381836
html,SourceExternal,bilibili.html,4,0.0019669532775878906
html,SuspiciousContentElements,bilibili.html,0,0.001994609832763672
html,SuspiciousObjects,bilibili.html,0,0.0009975433349609375
html,UnknownTags,bilibili.html,0.0,0.001994609832763672
html,WordCount,bilibili.html,221,0.001994609832763672
css,AbnormalAttributeCSS,test.css,13,0.0009980201721191406
css,BlendModeCSS,test.css,2,0.0
css,WordCountCSS,test.css,183,0.0
js,DocProperties,sha256.min.js,0,0.0039958953857421875
js,ActiveX,sha256.min.js,0,0.0059850215911865234
js,WordCountJS,sha256.min.js,2060,0.0019943714141845703
js,DeobfuscationFunc,sha256.min.js,0,0.004987239837646484
url,SuspiciousPattern,all_urls,0,0.0
